49 764 241 241 241
0	0	(255, 255, 255)	(0, 0, 0)	0
0	1	(255, 255, 255)	(0, 0, 0)	0
0	2	(255, 255, 255)	(0, 0, 0)	0
0	3	(255, 255, 255)	(0, 0, 0)	0
0	4	(255, 255, 255)	(0, 0, 0)	0
0	5	(255, 255, 255)	(0, 0, 0)	0
0	6	(255, 255, 255)	(0, 0, 0)	0
0	7	(255, 255, 255)	(0, 0, 0)	0
0	8	(255, 255, 255)	(0, 0, 0)	0
0	9	(255, 255, 255)	(0, 0, 0)	0
0	10	(255, 255, 255)	(0, 0, 0)	0
0	11	(255, 255, 255)	(0, 0, 0)	0
0	12	(255, 255, 255)	(0, 0, 0)	0
0	13	(255, 255, 255)	(0, 0, 0)	0
0	14	(255, 255, 255)	(0, 0, 0)	0
0	15	(255, 255, 255)	(0, 0, 0)	0
0	16	(255, 255, 255)	(0, 0, 0)	0
0	17	(255, 255, 255)	(0, 0, 0)	0
0	18	(255, 255, 255)	(0, 0, 0)	0
0	19	(255, 255, 255)	(0, 0, 0)	0
0	20	(255, 255, 255)	(0, 0, 0)	0
0	21	(255, 255, 255)	(0, 0, 0)	0
0	22	(255, 255, 255)	(0, 0, 0)	0
0	23	(255, 255, 255)	(0, 0, 0)	0
0	24	(255, 255, 255)	(0, 0, 0)	0
0	25	(255, 255, 255)	(0, 0, 0)	0
0	26	(255, 255, 255)	(0, 0, 0)	0
0	27	(255, 255, 255)	(255, 255, 255)	1
0	28	(95, 95, 175)	(255, 255, 255)	0
0	29	(0, 0, 128)	(255, 255, 255)	0
1	0	(184, 184, 184)	(0, 0, 0)	0
1	1	(255, 255, 255)	(255, 255, 255)	1
1	2	(232, 232, 232)	(255, 255, 255)	0
1	3	(78, 78, 78)	(255, 255, 255)	0
1	4	(55, 55, 55)	(255, 255, 255)	0
1	5	(70, 70, 70)	(255, 255, 255)	0
1	6	(49, 49, 49)	(255, 255, 255)	0
1	7	(100, 100, 100)	(255, 255, 255)	0
1	8	(235, 235, 235)	(0, 0, 0)	0
1	9	(255, 255, 255)	(0, 0, 0)	0
1	10	(176, 176, 176)	(255, 255, 255)	0
1	11	(50, 50, 50)	(255, 255, 255)	0
1	12	(26, 26, 26)	(255, 255, 255)	0
1	13	(163, 163, 163)	(255, 255, 255)	0
